query_trait,ontology,term_id,term_label,term_definition
reproductive efficiency index,OBA,OBA:VT0005389,reproductive system trait,The quality when measured in reproductive system.
reproductive efficiency index,OBA,OBA:0004643,male reproductive organ morphology,The morphology of a male reproductive organ.
reproductive efficiency index,PATO,PATO:0001029,efficiency,A physical quality inhering in a bearer by virtue of ratio of the bearer's output to the bearer's input.
reproductive efficiency index,PATO,PATO:0001675,decreased efficiency,An efficiency which is relatively low.
reproductive efficiency index,PATO,PATO:0001676,increased efficiency,An efficiency which is relatively high.
reproductive efficiency index,PATO,PATO:0045015,normal efficiency,An efficiency which is relatively normal or average.
reproductive efficiency index,PATO,PATO:0001434,reproductive quality,An organismal quality inhering in a bearer by virtue of the bearer's ability to produce new life or offspring.
reproductive period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
reproductive period,OBA,OBA:0002007,reproductive system size,The size of a reproductive system.
reproductive period,OBA,OBA:0002409,reproductive system displaced,The displaced of a reproductive system.
reproductive period,OBA,OBA:2050117,reproductive behavior trait,The quality of a reproductive behavior.
reproductive period,OBA,OBA:VT0005389,reproductive system trait,The quality when measured in reproductive system.
reproductive period,PATO,PATO:0001434,reproductive quality,An organismal quality inhering in a bearer by virtue of the bearer's ability to produce new life or offspring.
reproductive period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
reproductive period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
reproductive period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
reproductive period,PATO,GO:0019098,reproductive behavior,The specific behavior of an organism that is associated with reproduction.
resource consumption rate,OBA,OBA:1000654,saccharin consumption quality,The quality of a saccharin consumption.
resource consumption rate,OBA,OBA:1000679,cocaine consumption quality,The quality of a cocaine consumption.
resource consumption rate,OBA,OBA:1000690,food consumption quality,The quality of a food consumption.
resource consumption rate,OBA,OBA:1000840,alcohol consumption quality,The quality of a alcohol consumption.
resource consumption rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
resource consumption rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
resource consumption rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
resource consumption rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
resource consumption rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
resource consumption rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
sex ratio,OBA,OBA:1001089,multicellular organism sex,The biological sex of a multicellular organism.
sex ratio,OBA,OBA:VT0002210,sex determination trait,The quality of a sex determination.
sex ratio,OBA,OBA:0002003,multicellular organism phenotypic sex,The phenotypic sex of a multicellular organism.
sex ratio,OBA,OBA:0004263,testis sex cord amount,The amount of a testis sex cord.
sex ratio,OBA,OBA:1000853,primary sex determination quality,The quality of a primary sex determination.
sex ratio,PATO,PATO:0000047,biological sex,An organismal quality inhering in a bearer by virtue of the bearer's ability to undergo sexual reproduction in order to differentiate the individuals or types involved.
sex ratio,PATO,PATO:0001338,mixed sex,For example a mixture of females and male or males and hermaphrodites.
sex ratio,PATO,PATO:0001894,phenotypic sex,An organismal quality inhering in a bearer by virtue of the bearer's physical expression of sexual characteristics.
sex ratio,PATO,PATO:0020000,genotypic sex,"Note that the chromosomal constitution of genotypic sex varies in different organisms. In human, we have XY, XX, though abnormal XXY, X0, XYY, and other combinations are possible."
sex ratio,PATO,PATO:0060001,sex-specific,A quality inhering in a bearer by virtue of the bearer's being present in one sex and absent from the other in members of the same species.
sporozoite prevalence,OBA,HP:0002315,Headache,"Headache is one of the most common types of recurrent pain as well as one of the most frequent symptoms in neurology. In addition to occasional headaches, there are well-defined headache disorders that vary in incidence, prevalence and duration and can be divided into two broad categories. In secondary headache disorders, headaches are attributed to another condition, such as brain tumor or head injury; for the primary disorders the headache is not due to another condition."
starvation tolerance,OBA,GO:0002507,tolerance induction,NA
starvation tolerance,OBA,GO:0002427,mucosal tolerance induction,NA
starvation tolerance,OBA,GO:0002465,peripheral tolerance induction,NA
starvation tolerance,OBA,GO:0002508,central tolerance induction,NA
starvation tolerance,OBA,GO:0010931,macrophage tolerance induction,NA
starvation tolerance,PATO,PATO:0002393,increased tolerance to,A tolerance quality inhering in a bearer by virtue of the bearer's increased ability to endure a stimulus.
starvation tolerance,PATO,PATO:0002394,decreased tolerance to,A tolerance quality inhering in a bearer by virtue of the bearer's decreased ability to endure a stimulus.
starvation tolerance,PATO,PATO:0045070,normal tolerance to,A tolerance to an external stimulus which is relatively normal or average
survival,OBA,OBA:2044232,level of survival motor neuron protein in blood serum,The amount of a survival motor neuron protein when measured in blood serum.
survival,OBA,OBA:2059004,level of survival motor neuron protein (human) in cerebrospinal fluid,The amount of a survival motor neuron protein (human) when measured in cerebrospinal fluid.
survival,OBA,OBA:2050909,level of survival of motor neuron-related-splicing factor 30 in blood,The amount of a survival of motor neuron-related-splicing factor 30 when measured in blood.
survival,OBA,OBA:2043556,level of survival of motor neuron-related-splicing factor 30 in blood serum,The amount of a survival of motor neuron-related-splicing factor 30 when measured in blood serum.
survival,OBA,OBA:2056414,level of survival of motor neuron-related-splicing factor 30 (human) in cerebrospinal fluid,The amount of a survival of motor neuron-related-splicing factor 30 (human) when measured in cerebrospinal fluid.
survival,PATO,PATO:0000718,lethal (sensu genetics),A viability quality inhering in a population by virtue of the bearer's long term survival inability.
survival,PATO,PATO:0000719,viable,A viability quality inhering in a bearer or a population by virtue of the bearer's ability to survive or the long term survival ability of a given population.
survival,PATO,GO:0043066,negative regulation of apoptotic process,"This term should only be used when it is not possible to determine which phase or subtype of the apoptotic process is negatively regulated by a gene product. Whenever detailed information is available, the more granular children terms should be used."
